TF
AT1G01060
AT1G01250
AT1G01720
AT1G02230
AT1G02250
AT1G03800
AT1G03840
AT1G06180
AT1G06280
AT1G06850
AT1G08010
AT1G08320
AT1G09540
AT1G12260
AT1G12610
AT1G12630
AT1G13260
AT1G13450
AT1G14687
AT1G16490
AT1G18330
AT1G19000
AT1G19040
AT1G19210
AT1G19790
AT1G19850
AT1G20910
AT1G20980
AT1G22070
AT1G22640
AT1G22810
AT1G24250
AT1G25340
AT1G25550
AT1G27730
AT1G28160
AT1G28370
AT1G28470
AT1G29160
AT1G29280
AT1G29860
AT1G30210
AT1G30490 
AT1G30650
AT1G31140
AT1G32150
AT1G32870
AT1G33240
AT1G34180
AT1G34190
AT1G34370
AT1G34670
AT1G35460
AT1G35560
AT1G36060
AT1G43160
AT1G43700
AT1G44830
AT1G45249
AT1G46768
AT1G47655
AT1G49010
AT1G49480
AT1G49560
AT1G49720
AT1G50640
AT1G51140
AT1G51220
AT1G51700
AT1G52150
AT1G52880
AT1G53170
AT1G53230
AT1G53910
AT1G54330
AT1G55110
AT1G56170
AT1G59640
AT1G62300
AT1G63030
AT1G64620
AT1G65910
AT1G66140
AT1G68200
AT1G68320
AT1G68550
AT1G68670
AT1G69010
AT1G69180
AT1G69490
AT1G69570
AT1G69690
AT1G69780
AT1G70920
AT1G71450
AT1G72010
AT1G72740
AT1G72830
AT1G74480
AT1G74650
AT1G74840
AT1G75080
AT1G75240
AT1G75390
AT1G76420
AT1G76880
AT1G76890
AT1G77200
AT1G77450
AT1G77920
AT1G78700
AT1G79180
AT1G79580
AT1G80840
AT2G01060
AT2G01930
AT2G01940
AT2G02070
AT2G02080
AT2G02450
AT2G02820
AT2G03340
AT2G03500
AT2G04038
AT2G06200
AT2G15740
AT2G18060
AT2G18160
AT2G18350
AT2G18380
AT2G18550
AT2G20110
AT2G20400
AT2G22200
AT2G22430
AT2G22540
AT2G23290
AT2G23320
AT2G23340
AT2G24430
AT2G26960
AT2G27300
AT2G28810
AT2G30250
AT2G30340
AT2G30590
AT2G31220
AT2G31230 
AT2G32460
AT2G33550
AT2G33710
AT2G35530
AT2G35700
AT2G36010
